rat,toad
0.63050616,-1.5761745
0.11844991,-1.6641995
0.30956674,-0.67792696
0.64837086,-0.9986814
0.2968927,-0.7334999
0.19501592,-0.8134813
0.53203976,-0.11534066
0.8207165,-0.9375241
0.5407851,-0.9265883
0.17886418,-1.006809
0.4690804,-0.9568995
0.44130766,-1.3632405
-0.095989205,-0.8092956
0.74479014,-1.5053929
0.49648696,-1.1591352
0.41029978,-0.8712287
0.6063316,-1.2592667
0.33695525,-1.1883941
1.2777208,-0.824014
0.04779368,-0.88487923
0.30548286,-1.3583287
0.45312446,-0.91610223
0.5291491,-1.5593376
0.7854192,-1.4532979
0.23144357,-0.8396434
0.4753179,-1.0432667
0.6990948,-1.5147891
0.37657374,-0.9069723
0.51521254,-0.56227297
1.201556,-1.0382675
0.7324963,-0.7777587
0.76728344,-1.1656829
0.33316797,-0.95018214
0.44931275,-1.0905155
0.5328741,-1.404626
0.15297891,-0.94257045
0.1596694,-0.68508947
0.5717455,-1.065165
0.63141066,-2.4905584
0.5304429,-0.4401983
0.33937186,-0.69016975
1.3408916,-1.5171024
0.4446839,-1.3722209
1.3868363,-1.2497562
1.1679692,-1.2560054
1.0157876,-1.5611445
0.78624946,-1.1990712
0.44641405,-1.2691272
0.35751975,-1.6070849
0.7791059,-1.1403079
0.83003485,-1.1243453
0.57659,-1.6239682
0.40028566,-1.1415349
0.55306673,-0.68026924
0.020892218,-1.5526792
0.41658777,-1.2908982
0.80963457,-1.5525316
0.8600825,-1.4234372
0.5119221,-0.5105434
1.2496374,-1.8954368
0.49466413,-0.71959746
0.467575,-0.47402644
0.882591,-1.6442251
0.8611775,-1.0613259
1.5658367,-2.0407295
0.4409181,-0.87831223
0.24968536,-0.71206117
0.19521795,-0.82699174
0.36699975,-0.598791
0.7906859,-1.2243145
0.41534144,-1.0525094
0.8637109,-1.5354756
1.0816433,-0.478791
0.87476236,-1.3491273
-0.13953614,-0.8203102
0.7175075,-0.8555432
0.10855773,-0.34420946
0.8279326,-1.6188146
0.2123991,-1.2176272
0.5295543,-1.3248777
0.5160022,-1.1372178
0.81053466,-1.3829601
0.20357634,-1.5753186
0.9682473,-1.5656321
0.90171087,-1.2958496
0.83867615,-1.2202562
0.8906389,-1.0061171
0.76382375,-1.7133971
0.34280926,-0.7765213
0.38643372,-0.8631257
0.9791918,-2.4724529
0.33986175,-1.1595868
-0.26541325,-1.6853952
1.3259416,-1.7758651
0.2971264,-1.2392693
0.49165058,-0.6044443
0.9507371,-1.6005253
0.28022742,-0.80968285
0.8165823,-0.8641295
0.3538462,-0.70156384
1.0476185,-1.7856674
0.84960806,-1.1469346
0.89063615,-1.5406421
0.04118745,-0.7652257
0.5485093,-0.98302233
1.3400997,-1.2481847
0.41792327,-0.8641398
0.07638073,-0.9931151
0.7407922,-1.4534645
0.08281033,-1.0950243
0.92122924,-1.3165109
0.52303994,-1.6802988
0.57704693,-1.5295006
-0.16980611,-0.9460341
0.9771781,-0.9825959
0.46066624,-0.78976184
0.34540123,-0.6647376
0.46433854,-0.9605742
0.7657443,-1.4544969
0.7441317,-1.4935656
0.2747258,-0.7008648
0.46430087,-1.3423767
0.5317081,-1.2201259
0.44030637,-1.6376354
0.6922867,-1.1581213
0.90860695,-1.3482088
0.59842813,-1.4660894
0.38963437,-0.7075649
1.210635,-1.5738823
0.40231353,-1.4922273
1.0831518,-1.7617292
1.0297513,-1.9174409
0.41476,-0.8252512
0.51160717,-0.48596728
1.0806822,-1.3592899
-0.009272918,-0.68563485
0.9732106,-0.8316376
0.5475445,-0.9038067
0.49935853,-1.3103969
0.7033944,-1.2063591
0.16665863,-1.1067369
0.6603521,-1.0834172
0.4427327,-1.6922399
0.63693726,-1.3556526
0.18021494,-0.97139055
0.6888924,-1.6668963
0.47743392,-1.1113317
0.67052877,-1.5067629
0.15675189,-1.1583099
0.65741277,-0.76668906
0.3268926,-0.7363044
0.7067756,-1.469062
0.32558143,-1.1479663
0.5900768,-1.2377789
0.38854146,-0.9405526
0.28729862,-0.75760365
0.75205004,-0.53326815
0.9370059,-1.4158766
0.47281384,-1.2263658
0.055031434,-1.0143332
0.7216315,-1.0234171
0.02255185,-0.65605325
1.0118113,-1.5055155
0.6025523,-0.9739953
0.23280527,-0.57800186
0.7651191,-1.5897009
-0.049936756,-0.89814323
0.62472725,-1.3261698
0.66119105,-1.4085081
0.69935703,-1.5507655
0.65201193,-1.9519746
0.89117146,-1.1568203
0.89652264,-1.2740015
0.40825653,-0.72995377
0.3013656,-1.578971
1.0117269,-2.0799088
0.7062445,-1.4467528
0.56168425,-0.87481135
0.5913424,-0.99765193
0.85597897,-1.3480008
0.21688162,-0.7903429
0.35582542,-0.99694663
0.5084412,-1.2580342
0.25811476,-0.85163635
0.22757085,-0.7756148
0.33110726,-0.7379812
0.11059184,-0.44842923
0.8812326,-1.3977532
0.21137147,-1.0017705
0.8818695,-1.2644558
0.60561776,-1.2439083
0.17095585,-1.078611
0.488733,-1.3219694
0.91569185,-0.8028312
0.812081,-1.2341315
0.62354004,-1.4728279
0.6040251,-1.3483607
0.51506597,-1.2772073
0.6189473,-1.1376091
0.7305424,-1.0115285
0.93662655,-0.97384393
0.5952512,-1.0292999
0.7690095,-0.9693147
0.675337,-0.87442005
0.47323775,-0.99463946
0.71837616,-1.360132
1.4901574,-1.6228346
0.71042997,-2.1758544
0.2700234,-0.9356192
0.8794774,-1.6876796
0.068229035,-2.4100847
0.9201164,-1.3803867
0.6345996,-1.7826787
0.32790864,-1.2607081
0.86442256,-1.2839031
0.97898674,-1.4689449
0.32385778,-1.3102365
0.67476827,-1.8543904
0.24345918,-0.67598325
0.99275243,-1.95166
1.0924909,-1.9544995
1.0445477,-1.0179077
0.19819283,-0.9991987
0.2915401,-1.6514317
0.39161098,-1.2448584
0.7700975,-1.1619779
-0.115085796,-0.9685488
1.1404049,-1.5783672
1.4843428,-1.2411082
0.14371857,-0.7479415
0.95468724,-0.44553864
1.1131316,-1.2381984
0.3377239,-1.0735793
0.56129766,-0.93651783
0.48286343,-1.1949782
-0.11460675,-0.74278355
0.44152868,-1.399686
0.99079275,-1.5970689
0.67639625,-1.093256
0.9130556,-0.79388154
0.7468996,-0.5313371
0.57541466,-1.1233746
0.2634434,-1.1669135
0.8979536,-1.3703448
0.46645796,-1.4307735
0.84772956,-1.3803868
0.59819776,-0.65084124
0.30521262,-1.0026041
0.44638652,-0.95120895
0.093462005,-0.64629936
1.6449397,-1.7194015
0.6079102,-1.3139654
0.40718335,-1.2899498
1.1503477,-2.2281823
-0.30110204,-1.020932
0.8821139,-1.2854059
0.50777245,-1.4262605
0.88402057,-1.2413028
0.35597718,-1.174
0.43994796,-1.261742
0.61479414,-1.0195171
1.2578862,-1.7496254
0.28974736,-1.167997
0.48093188,-1.304524
0.78512084,-0.9594716
0.2635674,-0.9248605
0.36837018,-1.1540498
1.4169815,-0.94892186
0.7980753,-0.9084866
0.40101147,-1.0791852
0.9896805,-1.2451046
0.22540052,-1.1960044
0.29903024,-0.736701
0.14232922,-1.0181805
0.4427116,-0.97493666
0.47179055,-0.8833298
1.0975512,-0.8871605
0.63731134,-0.8945724
0.97013426,-1.3891641
0.79406077,-1.1819383
0.098503605,-0.57744515
0.5107914,-0.8004349
0.9265537,-1.2877098
0.056099564,-0.97344714
0.15370871,-0.9060366
0.57403356,-0.67105675
0.17443022,-0.5482113
0.48179698,-1.4029517
0.57227564,-0.6163521
0.25739902,-1.007064
-0.18466847,-0.6087185
0.50216186,-0.9895246
0.5083492,-1.7350287
0.362171,-1.6391723
0.19965419,-1.8503025
0.71426016,-0.9098705
0.50623345,-1.329789
0.38139218,-1.3644493
0.66159374,-1.4216533
0.5850043,-1.349335
0.49692595,-1.3778889
0.22130339,-1.4321101
0.7858094,-1.3151547
1.1519327,-0.6886717
1.1810906,-1.5538249
0.60495186,-1.2940223
0.41835594,-0.9683921
0.6620481,-0.83713615
0.27325273,-1.319349
1.0904742,-1.867556
1.0746851,-1.26814
0.016361602,-0.18766665
0.65205157,-1.374752
1.1230631,-1.5841306
0.19611423,-0.7261223
0.36201757,-1.0996149
0.3180282,-1.2874289
0.28023428,-0.7511312
1.2282338,-1.7136152
0.58667564,-0.56626856
1.196501,-1.8514698
0.25021565,-1.2456
0.28162956,-0.79102004
0.3854419,-0.6104002
0.6363453,-1.1860597
0.27536738,-0.97020054
0.36789948,-1.2543074
0.67556846,-1.1084746
0.055783033,-0.6135112
0.62396526,-1.4373497
0.65979785,-1.2449447
0.78379035,-1.0509509
0.26858717,-0.77297133
0.9503439,-1.0040443
0.37795252,-0.9039185
0.15240812,-0.9866631
0.43797588,-0.9130699
0.9580239,-1.2049284
1.0235121,-1.5516646
0.61314493,-0.8108689
0.30528086,-1.108207
